SBD BB KHTN KHXH
BD1200068 20.6 0 22.5 
BD1200069 13.55 0 17 
BD1200070 12.5 0 17.25 
BD1200071 13 0 15.75 
BD1200072 10.2 7.5 13.5 
BD1200073 10.8 0 18 
BD1200074 8.95 8.25 16.75 
BD1200075 21.25 17.5 0 
BD1200076 16.15 14 18.5 
BD1200077 13.95 15 0 
BD1200078 17.25 16.75 0 
BD1200079 16.65 14.25 0 
BD1200080 18.35 17.5 0 
BD1200081 13.5 13.25 21.75 
BD1200082 10.8 0 17.25 
BD1200083 13.35 0 16.25 
BD1200084 11.8 0 15.5 
BD1200085 16.5 20.25 0 
BD1200086 17.2 18.75 0 
BD1200087 10.3 0 13 
BD1200088 12.8 8 15.25 
BD1200089 8.6 0 16 
BD1200090 12.25 0 16.75 
BD1200091 15.4 0 14.25 
BD1200092 20.5 16.25 0 
BD1200093 17.95 18.75 0 
BD1200094 17.15 13.75 0 
BD1200095 15.15 12.25 14.75 
BD1200096 20.55 0 18 
BD1200097 15.65 16.25 0 
BD1200098 11.4 0 12.25 
BD1200099 11.55 0 12 
BD1200100 21.15 18.75 0 
BD1200101 12.6 12.5 13 
BD1200102 6.7 0 14.25 
BD1200103 10.6 0 13.25 
BD1200104 16.45 0 16.25 
BD1200105 10.8 0 6.5 
BD1200106 3.9 0 7 
BD1200107 11.2 0 16.5 
BD1200108 16.7 12.5 0 
BD1200109 12.3 12.25 18 
BD1200110 8.25 11.25 15.25 
BD1200111 8.25 0 14.75 
BD1200112 18.25 13.25 20.25 
BD1200113 13.8 8.75 18.25 
BD1200114 14.55 0 19 
BD1200115 18.6 0 21.5 
BD1200116 17.55 0 21.25 
BD1200117 11.5 0 14.75 
BD1200118 17.1 12.25 0 
BD1200119 12.9 0 18.75 
BD1200120 12.45 0 20.75 
BD1200121 14.75 0 18.5 
BD1200122 16.9 15.25 0 
BD1200123 15 13.5 0 
BD1200124 12.05 6.75 14.5 
BD1200125 13.5 0 18 
BD1200126 10.35 0 10.25 
BD1200127 18.8 14.25 0 
BD1200128 19.6 17.5 0 
BD1200129 15.45 14.5 0 
BD1200130 15.4 9 18 
BD1200131 8.9 0 15 
BD1200132 16.05 17 0 
BD1200133 13.5 0 16.75 
BD1200134 23.3 0 20 
BD1200135 22.45 20.75 0 
BD1200136 12.15 0 15 
BD1200137 14.15 0 18 
BD1200139 13.5 14.25 0 
BD1200140 3.25 0 4.25 
BD1200141 11.65 0 10.25 
BD1200142 16.2 0 23.5 
BD1200143 15.2 0 20 
BD1200144 15.25 16.25 19.5 
BD1200145 7.6 0 11.25 
BD1200146 16.9 17.75 0 
BD1200147 17.1 16.25 16 
BD1200148 19.8 16.25 0 
BD1200149 13.15 0 17.5 
BD1200150 14.15 0 20.75 
BD1200151 19.9 15.25 0 
BD1200152 14.9 15.25 0 
BD1200153 18.9 16 18 
BD1200154 16.45 0 19 
BD1200155 11.3 0 15.5 
BD1200156 15.5 16.25 0 
BD1200157 10.45 0 16.75 
BD1200158 19.2 0 22 
BD1200159 18.95 0 22.25 
BD1200161 11.85 9.75 19.25 
BD1200162 11.65 0 16.75 
BD1200163 20.9 18.25 0 
BD1200164 17.45 0 23 
BD1200165 12.7 8.25 16.25 
BD1200166 13.9 0 18 
BD1200167 18.6 0 25.25 
BD1200168 10.55 8.5 15.75 
BD1200169 15.5 18.5 0 
BD1200170 11.8 0 18 
BD1200171 16 0 21 
BD1200172 17.35 15 0 
BD1200173 13.1 0 14 
BD1200174 14.65 14.25 0 
BD1200175 13.05 0 13.75 
BD1200176 16 0 17.25 
BD1200177 12.4 0 16.25 
BD1200178 8.4 0 6.5 
BD1200179 18.25 14.25 18.25 
BD1200180 13.1 13.5 0 
BD1200181 15.2 9.5 0 
BD1200182 10.75 0 19.25 
BD1200183 16.75 0 19 
BD1200184 13.4 0 21 
BD1200185 14.4 15.5 16.75 
BD1200186 10.75 8.75 13.5 
BD1200187 10.95 0 14.5 
BD1200188 12.65 0 19 
BD1200189 9.85 9 16.75 
BD1200190 19.25 0 20.75 
BD1200191 17.2 0 17.75 
BD1200192 8.8 0 12 
BD1200193 20.8 0 15 
BD1200194 12.4 8.5 18.75 
BD1200195 16.1 0 18.5 
BD1200196 19.7 14.5 0 
BD1200197 19.5 17.75 0 
BD1200198 13.1 9.75 17 
BD1200199 11.8 14.75 0 
BD1200200 19.6 18 0 
BD1200201 17.55 18.75 0 
BD1200202 19.05 16.25 0 
BD1200203 18.05 0 19.75 
BD1200204 14.1 0 17.5 
BD1200205 18.35 14.75 0 
BD1200206 7.75 0 14.5 
BD1200207 13.75 0 15.75 
BD1200208 15.7 12.5 0 
BD1200209 22.1 0 21 
BD1200210 13.6 12.25 0 
BD1200211 16.55 13.75 0 
BD1200212 14.25 12.25 0 
BD1200213 16.4 0 19 
BD1200214 17.75 15.5 0 
BD1200215 15.25 11.5 19.5 
BD1200216 15.65 14.5 0 
BD1200217 15.85 16.75 0 
BD1200218 17.1 0 18.25 
BD1200219 23.5 18 0 
BD1200220 5.45 0 2.75 
BD1200221 17.95 17.25 0 
BD1200222 20.8 19.5 0 
BD1200223 21.2 16.75 0 
BD1200224 18.4 0 24 
BD1200225 13.25 8 13.5 
BD1200226 16.15 17 0 
BD1200227 13.7 0 18 
BD1200228 7.05 0 11 
BD1200229 12.3 0 16.25 
BD1200230 19.2 13.5 0 
BD1200231 13.85 0 16 
BD1200232 17.8 17 0 
BD1200233 15.85 16.75 0 
BD1200234 16.45 11 0 
BD1200235 9.7 0 15 
BD1200236 12.8 0 19.5 
BD1200237 17.9 17.5 0 
BD1200238 16.05 16.5 0 
BD1200239 13.1 12.75 16.25 
BD1200240 12.1 9.5 14 
BD1200241 12.8 0 16.25 
BD1200242 23.15 17.75 0 
BD1200243 18.75 14.25 0 
BD1200244 17.1 8.5 16.75 
BD1200245 13.4 0 23 
BD1200246 15.3 0 19.5 
BD1200247 17.5 9.5 0 
BD1200248 19 15 0 
BD1200249 21 0 19.75 
BD1200250 10.7 0 18.75 
BD1200251 13.65 15.75 0 
BD1200252 17.4 0 22.5 
BD1200253 16.5 0 18.25 
BD1200254 6.95 0 2.5 
BD1200255 15.1 14.5 0 
BD1200256 11.75 0 17.75 
BD1200257 19.7 16 0 
BD1200258 17.25 18.5 0 
BD1200259 7.8 0 16.5 
BD1200260 12.75 7.25 16.5 
BD1200261 15.95 0 19.5 
BD1200262 15.4 17.5 0 
BD1200263 10.5 0 13.25 
BD1200264 13.4 0 11 
BD1200265 13.1 8 14.25 
BD1200266 11.3 0 18.75 
BD1200267 11 0 14 
BD1200268 19.5 20 0 
BD1200269 7.2 0 10 
BD1200270 15 0 16 
BD1200271 16.2 13.75 22.25 
BD1200272 16.3 0 14.75 
BD1200273 20.45 15.5 0 
BD1200274 13.55 0 17.5 
BD1200275 17.9 0 17 
BD1200276 18.65 19.5 0 
BD1200277 16.8 14.25 0 
BD1200278 20 0 18.25 
BD1200279 12.85 0 17.5 
BD1200280 18.45 0 17.5 
BD1200281 18.2 11 0 
BD1200282 16.35 16.75 0 
BD1200283 21.6 13.5 22 
BD1200284 22.3 17 0 
BD1200285 16.25 18.5 0 
BD1200286 16.4 12.25 0 
BD1200287 16.1 0 14 
BD1200288 17.8 0 19 
BD1200289 4.6 11.75 0 
BD1200290 17.5 13.75 0 
BD1200291 18.6 18.5 20.75 
BD1200292 16.95 13.75 0 
BD1200293 15.8 0 21.25 
BD1200294 17.25 18.75 0 
BD1200295 15.55 0 18.75 
BD1200296 11.6 0 18 
BD1200297 17.4 0 15.75 
BD1200298 22.25 21.75 0 
BD1200299 19.35 15.5 0 
BD1200300 9.6 0 13.25 
BD1200301 12.85 0 19 
BD1200302 15.25 0 21.25 
BD1200303 18.6 18.75 23 
BD1200304 11.85 6 14 
BD1200305 25.6 0 20.25 
BD1200306 9.3 8.25 16.75 
BD1200307 10.7 8.75 17 
BD1200308 10.05 9 16.5 
BD1200309 16.7 0 24 
BD1200310 11.3 0 19.5 
BD1200311 19.8 17.75 0 
BD1200312 12.8 0 15.75 
BD1200313 14.5 15.5 0 
BD1200314 14.25 0 18.25 
BD1200315 14.65 12.75 0 
BD1200316 11.8 0 17 
BD1200317 11.7 0 14.75 
BD1200318 16.7 16.25 0 
BD1200319 16.2 0 21.75 
BD1200320 19.05 16 0 
BD1200321 10.95 12.5 12.75 
BD1200322 15.65 14.75 0 
BD1200323 17 15.75 0 
BD1200324 14.8 10.5 0 
BD1200325 15.35 0 18.5 
BD1200326 17.1 21.75 0 
BD1200327 16.2 0 16.25 
BD1200328 19.9 0 19.75 
BD1200329 12.2 0 17.5 
BD1200330 13.8 0 19.75 
BD1200331 10.5 0 13.75 
BD1200332 16.8 0 21.5 
BD1200333 13.75 9.75 17.25 
BD1200334 19.15 16.5 0 
BD1200335 11.7 10.5 0 
BD1200336 10.15 0 17 
BD1200337 22.8 0 21.5 
BD1200338 17.45 18.25 0 
BD1200339 13.15 9.25 19.5 
BD1200340 19.65 14 0 
BD1200341 19.6 18 0 
BD1200342 9.4 0 11.5 
BD1200343 15.9 16 0 
BD1200344 14.9 7.5 16.75 
BD1200345 17.8 0 20.75 
BD1200346 17.55 17.75 0 
BD1200347 13.55 0 17.25 
BD1200348 15.3 6 19.25 
BD1200349 14.8 0 23 
BD1200350 20.95 15.75 0 
BD1200351 16.15 0 13.5 
BD1200352 12.65 0 16.25 
BD1200353 15.6 0 19.25 
BD1200354 13 0 17.75 
BD1200355 12.6 11 0 
BD1200356 17.15 0 19.25 
BD1200357 11.2 0 17.25 
BD1200358 6.85 0 13 
BD1200359 14.8 15.25 0 
BD1200360 15.2 0 17.75 
BD1200361 16.3 0 16.5 
BD1200362 19.65 19.75 0 
BD1200363 19.2 19 14 
BD1200364 12.3 0 13.75 
BD1200365 12.4 0 15.25 
BD1200366 17.25 15 0 
BD1200367 10.3 6.25 13.75 
BD1200368 19.55 0 19.5 
BD1200369 21.5 17.5 0 
BD1200370 16.35 9.5 21.75 
BD1200371 13.6 16.25 0 
BD1200372 17.9 18.25 0 
BD1200373 14.4 0 18.5 
BD1200374 11.7 13.5 0 
BD1200375 17.3 16.75 0 
BD1200376 21.2 19.5 0 
BD1200377 14.1 13.25 17.75 
BD1200379 13.75 7.75 18.5 
BD1200380 9.85 0 17.5 
BD1200381 21.35 20.5 0 
BD1200382 12.3 0 21 
BD1200383 18 13 0 
BD1200384 20.75 0 22 
BD1200385 13.25 14.25 0 
BD1200386 15.35 14.5 0 
BD1200387 9.4 0 13.75 
BD1200388 16.25 15 0 
BD1200389 13.7 10.25 18.25 
BD1200390 21.05 17.75 0 
BD1200391 10 0 13.5 
BD1200392 12.85 0 19 
BD1200393 18.1 17 0 
BD1200394 18 15.5 0 
BD1200395 10.5 0 12.25 
BD1200396 14.65 0 18.5 
BD1200397 14.1 11.75 0 
BD1200398 14.25 10 0 
BD1200399 17.6 0 18.75 
BD1200400 17.85 0 26.25 
BD1200401 18.1 19.75 0 
BD1200402 9.95 0 18 
BD1200403 19.95 19.75 0 
BD1200404 18.3 0 22.75 
BD1200405 16.75 0 23 
BD1200406 22.4 20.5 0 
BD1200407 7.8 14 0 
BD1200408 19.25 16 0 
BD1200409 17.5 0 21.75 
BD1200410 11.8 0 18.5 
BD1200411 14.15 0 21.25 
BD1200412 7.2 14.25 0 
BD1200413 15.4 14.75 0 
BD1200414 13.4 7.75 15.5 
BD1200415 17.25 0 19 
BD1200416 19.6 14.5 17.5 
BD1200417 20.4 20.25 0 
BD1200418 11.9 0 17.5 
BD1200419 11.5 0 15 
BD1200420 17.65 0 19.25 
BD1200421 10 8.5 15.5 
BD1200422 18.6 18.25 0 
BD1200423 19.85 0 20 
BD1200424 14.4 15.75 0 
BD1200425 15.2 0 18.25 
BD1200426 12.25 0 15.5 
BD1200427 19.2 17 0 
BD1200428 15.35 0 18.5 
BD1200429 13.65 0 18.5 
BD1200430 16.45 0 17 
BD1200431 15.2 12 15.5 
BD1200432 16.45 0 24 
BD1200433 14.3 0 17 
BD1200434 22.95 14 0 
BD1200435 10.85 9.5 15.75 
BD1200436 7.3 10.25 16 
BD1200437 14.05 18 17.5 
BD1200438 12.35 0 20.75 
BD1200439 20.9 16 0 
BD1200440 14.5 0 15.75 
BD1200441 13.9 0 17.25 
BD1200442 17.9 0 19 
BD1200443 15.15 18.75 0 
BD1200444 16.6 18 0 
BD1200445 18 0 24.25 
BD1200446 12.25 0 20.75 
BD1200447 13 0 15.75 
BD1200448 18.45 0 19.25 
BD1200449 16.3 0 20.25 
BD1200450 18.85 0 22 
BD1200451 12 0 15.25 
BD1200452 12.8 10.25 0 
BD1200453 13.65 0 14.25 
BD1200454 13.8 0 20.5 
BD1200455 15.75 16.75 0 
BD1200456 14.65 9.75 0 
BD1200457 17.05 0 19 
BD1200458 8.65 0 14.25 
BD1200459 13.6 15.5 0 
BD1200460 17.1 18.5 0 
BD1200461 15.2 0 17.25 
BD1200462 21.5 13.25 0 
BD1200463 23.4 0 19.75 
BD1200464 16.4 0 19.75 
BD1200465 17.7 15.75 0 
BD1200466 18.1 20.25 0 
BD1200467 17.45 15 0 
BD1200468 10.05 7.25 16.5 
BD1200469 12.05 10.5 14.5 
BD1200470 18.6 0 21.5 
BD1200471 13.55 0 20 
BD1200472 11.05 12.5 15 
BD1200473 7.5 0 12.25 
BD1200474 22.1 18.25 0 
BD1200475 21.65 15.25 0 
BD1200476 13.85 0 18.25 
BD1200477 15 12.5 0 
BD1200478 6.95 0 15 
BD1200479 12.35 0 18.75 
BD1200480 19.85 15.5 0 
BD1200481 11.3 0 15 
BD1200482 17.1 0 21.25 
BD1200483 16.3 16 0 
BD1200484 17 0 20.5 
BD1200485 13.3 10.5 13.75 
BD1200486 15.15 0 18.75 
BD1200487 15.3 0 21.25 
BD1200488 12.4 0 16 
BD1200489 8.7 0 15.75 
BD1200490 16.1 19.75 0 
BD1200491 15.8 14.25 0 
BD1200492 17.35 20 0 
BD1200493 15 15.5 0 
BD1200494 11 9.25 16.75 
BD1200495 10.5 0 18.5 
BD1200496 16.2 11.25 17.5 
BD1200497 12.25 0 18.75 
BD1200498 17.95 17.75 0 
BD1200499 10.1 0 16.75 
BD1200500 16.75 15.75 0 
BD1200501 13.2 6.75 14.25 
BD1200502 17.4 14.5 0 
BD1200503 13.9 13 0 
BD1200504 18.7 0 18.5 
BD1200505 18.7 14.5 0 
BD1200506 12.7 0 16.75 
BD1200507 17.75 0 18.75 
BD1200508 20.6 0 21.75 
BD1200509 10 7.75 13.5 
BD1200510 20.25 0 22 
BD1200511 11.9 11 0 
BD1200512 12.05 0 14.5 
BD1200513 18.4 16.25 18.25 
BD1200514 17.8 0 20.25 
BD1200515 8.1 0 14 
BD1200516 10.65 0 15.25 
BD1200517 10.5 0 16.75 
BD1200518 12.55 0 18 
BD1200519 15.85 21 0 
BD1200520 17.6 0 20 
BD1200521 11.9 0 13 
BD1200522 16.85 0 21.5 
BD1200523 4.75 0 6.75 
BD1200524 10.35 0 12 
BD1200525 16.25 11.5 22.25 
BD1200526 15.75 17.25 0 
BD1200527 19.85 21.5 0 
BD1200528 19.8 18.5 0 
BD1200529 11.5 9.5 15 
BD1200531 15.9 0 20.75 
BD1200532 13 13.75 0 
BD1200533 17.6 0 22.25 
BD1200534 13.35 0 18 
BD1200535 11.25 9 16.25 
BD1200536 11.55 7.75 18 
BD1200537 19.85 20 0 
BD1200538 19.6 19.75 0 
BD1200539 17.8 19.5 0 
BD1200540 18.85 16.5 0 
BD1200541 23.65 14.75 0 
BD1200542 19.2 11.75 0 
BD1200543 15.85 0 19 
BD1200544 16.95 14.25 0 
BD1200545 10.8 0 17 
BD1200546 15.8 0 19.75 
BD1200547 16.6 0 19.5 
BD1200548 14.2 14 0 
BD1200549 16.4 0 15.25 
BD1200550 13.9 0 18.75 
BD1200551 15.3 15.25 0 
BD1200552 15.3 0 20 
BD1200553 18 15.25 0 
BD1200554 9.3 0 10.5 
BD1200555 16.75 0 19.75 
BD1200556 14.85 11.5 0 
BD1200557 8.4 0 13.75 
BD1200558 19.1 18.25 0 
BD1200559 14.55 0 20.5 
BD1200560 16.3 0 18.75 
BD1200561 18.3 16.75 0 
BD1200562 20.6 0 24 
BD1200563 17.8 18.25 0 
BD1200564 21.8 0 21 
BD1200565 9.2 0 19 
BD1200566 20.3 0 20.5 
BD1200567 14 0 17.5 
BD1200568 16.75 19.75 0 
BD1200569 14.6 0 15.5 
BD1200570 4.4 0 7.75 
BD1200571 19.75 0 25 
BD1200572 11.25 7.5 8.5 
BD1200573 16.2 14.25 0 
BD1200574 18.4 13.75 0 
BD1200575 14.9 12 0 
BD1200576 17.75 14.75 0 
BD1200577 17.3 15.75 0 
BD1200578 20.35 20.75 0 
BD1200579 20.95 18.25 0 
BD1200580 11 0 13.75 
BD1200581 13.4 0 18.75 
BD1200582 12.9 0 18 
BD1200583 16.1 0 21.5 
BD1200584 13.9 8.75 17.5 
BD1200585 10.95 8.25 17.75 
BD1200586 22.85 17.25 0 
BD1200587 14.4 9.25 18.25 
BD1200588 16.4 14.25 0 
BD1200589 10.15 0 18.25 
BD1200590 20.85 16.5 17.25 
BD1200591 16.75 0 18.75 
BD1200592 14.95 0 20.5 
BD1200593 22.6 0 22.25 
BD1200594 16 17.75 0 
BD1200595 8.8 13 0 
BD1200596 17.3 0 19 
BD1200597 12.15 0 15.75 
BD1200598 13.35 0 17.75 
BD1200599 17.95 17.25 0 
BD1200600 12.5 0 12.25 
BD1200601 18.9 0 18.25 
BD1200602 13.65 0 17 
BD1200603 23.75 0 19.75 
BD1200604 13.25 0 14.5 
BD1200605 17.05 16.5 0 
BD1200606 17.35 14.25 0 
BD1200607 11.85 0 17 
BD1200608 15 0 14.75 
BD1200609 17.6 0 18.5 
BD1200610 13.7 0 16.25 
BD1200611 18.45 8.25 20.75 
BD1200612 13.2 0 13.5 
BD1200613 7.25 0 4 
BD1200614 13.85 10.25 20 
BD1200615 13.4 0 19 
BD1200616 11.3 6.25 13.25 
BD1200617 18.3 18.5 0 
BD1200618 17.75 15.75 0 
BD1200619 9.55 0 18.75 
BD1200620 8.65 0 11 
BD1200621 20.5 18.25 0 
BD1200623 10.65 6.5 14.25 
BD1200624 18.7 17 0 
BD1200625 18.4 15 0 
BD1200626 17.4 0 20.75 
BD1200627 13.1 12.5 0 
BD1200628 5.95 0 12.25 
BD1200629 16.2 14.75 0 
BD1200630 16.15 10 17.5 
BD1200631 17.4 14.5 0 
BD1200632 15.7 17.5 0 
BD1200633 14.75 0 15.5 
BD1200634 19.8 15.5 0 
BD1200635 13.85 0 18.5 
BD1200636 15.45 11.75 18 
BD1200637 17.85 22 0 
BD1200638 12.6 9.5 15.25 
BD1200639 13.9 0 19.5 
BD1200640 16.65 11.5 0 
BD1200641 16.5 0 19 
BD1200642 15.9 13.25 0 
BD1200643 15.55 14.5 0 
BD1200644 18.4 0 20.25 
BD1200645 18.05 0 19.25 
BD1200646 18.3 0 20 
BD1200647 10.75 0 17.25 
BD1200648 15 15 0 
BD1200649 18.7 15.75 0 
BD1200650 6.7 0 6 
BD1200651 7.05 0 12 
BD1200652 13.45 0 15.5 
BD1200653 21.3 20.75 0 
BD1200654 15 16.75 0 
BD1200655 21.15 19.25 0 
BD1200656 17.2 0 17.25 
BD1200657 22.35 0 0 
BD1200658 9.55 0 15.5 
BD1200659 16.45 17 0 
BD1200661 15.1 16 0 
BD1200662 7.45 0 9 
BD1200663 13.9 13.25 15.25 
BD1200664 14.3 12.75 13 
BD1200665 8.3 0 12.5 
BD1200666 15.05 13.75 0 
BD1200667 11 0 15.25 
BD1200668 12.55 11.25 0 
BD1200669 17.1 0 16.75 
BD1200670 20.6 16.75 0 
BD1200671 21.6 18.25 0 
BD1200672 18.9 0 22.25 
BD1200673 18.4 17.75 0 
BD1200674 17.5 0 26.25 
BD1200675 14.1 0 14.5 
BD1200676 22.45 18 0 
BD1200677 17.4 0 18.25 
BD1200678 9.2 7.75 16.75 
BD1200679 12.35 0 17.75 
BD1200680 20 18.25 0 
BD1200681 21.05 12 0 
BD1200682 20.25 16.25 0 
BD1200683 20.8 0 24.25 
BD1200684 13 8.25 17 
BD1200685 14.75 0 16.25 
BD1200686 10.8 11.25 16 
BD1200687 15.9 14.75 17.25 
BD1200688 14.9 0 20 
BD1200689 22.9 0 24.25 
BD1200690 14.35 11 16.5 
BD1200691 7 0 16 
BD1200692 10.75 0 19.25 
BD1200693 7.75 0 4.75 
BD1200694 19.85 0 23 
BD1200695 16.6 10.75 20.25 
BD1200696 24.8 0 20 
BD1200697 16.9 14.75 0 
BD1200698 20.2 0 18 
BD1200699 8.9 0 17.75 
BD1200700 12.2 9.25 13.5 
BD1200701 13.2 12.5 0 
BD1200702 12.55 0 16 
BD1200703 17.7 19.25 0 
BD1200704 11.7 0 15.75 
BD1200705 11.05 0 17.75 
BD1200706 12.55 0 13.25 
BD1200707 15.05 14 11.75 
BD1200708 20.25 0 19.75 
BD1200709 15.4 0 24 
BD1200710 15 0 22 
BD1200711 10 6.5 13.5 
BD1200712 17.1 13.25 0 
BD1200713 20.6 20.75 0 
BD1200714 16.55 0 18.75 
BD1200715 10.65 0 15 
BD1200716 11.4 8.75 10.75 
BD1200717 14.1 0 16.75 
BD1200718 15.9 13.25 19.5 
BD1200719 15.4 15.75 0 
BD1200720 17.75 17 0 
BD1200721 14.75 15.25 18.75 
BD1200722 11.1 0 13.5 
BD1200723 18.7 15.5 0 
BD1200724 8.25 10.75 10.75 
BD1200725 19.35 19.5 0 
BD1200726 20 13.75 19.25 
BD1200727 11.7 0 20.25 
BD1200728 19.4 0 19.25 
BD1200729 13.7 0 16.25 
BD1200730 19.65 0 17.75 
BD1200731 8.75 0 14.75 
BD1200732 13.2 12.75 0 
BD1200733 16.85 0 18.5 
BD1200734 15.8 0 19.75 
BD1200735 12.6 8.5 17 
BD1200736 17.7 12.75 0 
BD1200737 15.15 0 13.5 
BD1200738 13.85 12.5 0 
BD1200739 21 16.5 0 
BD1200740 11.9 0 20 
BD1200741 19.2 16.75 0 
BD1200742 13.25 0 18.75 
BD1200743 14.1 0 20 
BD1200744 16.7 15.75 0 
BD1200745 10.4 10.75 0 
BD1200746 10.95 0 13.25 
BD1200747 20.5 23 0 
BD1200748 13.4 0 21.25 
BD1200749 18.3 0 19.5 
BD1200750 16.4 0 17.75 
BD1200751 12.2 7.5 15.5 
BD1200752 20.1 16.5 0 
BD1200753 18.15 16.25 0 
BD1200754 16.4 10.75 0 
BD1200755 7.45 0 5.75 
BD1200756 10.95 0 19.25 
BD1200757 18.05 13.25 0 
BD1200758 7.6 0 10.75 
BD1200759 14.35 7.5 17.25 
BD1200760 14.3 0 21 
BD1200761 16.4 14.25 0 
BD1200762 16.8 20.25 0 
BD1200763 11.15 0 16.25 
BD1200764 14.8 0 15.5 
BD1200765 7.2 12.5 0 
BD1200766 22.05 17.5 15.75 
BD1200767 16.1 11.75 14.5 
BD1200768 15.95 16.75 19.5 
BD1200769 16.3 10.75 0 
BD1200770 16.4 14.75 0 
BD1200771 16.6 14.5 0 
BD1200772 20.3 20 0 
BD1200773 22.05 17.25 0 
BD1200774 17.45 11.75 0 
BD1200775 22.15 14.75 0 
BD1200776 7.9 10.25 14 
BD1200777 19.25 18.75 0 
BD1200778 16.3 17.75 18 
BD1200779 15.55 10.75 18.25 
BD1200780 14.6 0 19.75 
BD1200781 9.25 0 5 
BD1200782 17.5 21.25 0 
BD1200783 17.8 16.5 0 
BD1200784 11.95 0 17 
BD1200785 16.45 0 15.5 
BD1200786 9.55 0 3.75 
BD1200787 18.3 0 23 
BD1200788 16.1 0 27.5 
BD1200789 13.35 9.25 0 
BD1200790 12.4 0 21.5 
BD1200791 20.6 20.25 0 
BD1200792 13.55 0 19.75 
BD1200793 13.9 14.25 19.5 
BD1200794 14.5 0 20.5 
BD1200795 14.6 9.25 15.25 
BD1200796 11.95 9.5 20 
BD1200797 22.1 18 0 
BD1200798 15.9 0 17 
BD1200799 15.75 19.5 0 
BD1200800 15.05 18.5 0 
BD1200801 15 0 15.5 
BD1200802 17.15 16.75 0 
BD1200803 13.1 9.5 15.5 
BD1200804 17.6 0 17.5 
BD1200805 7 14.5 0 
BD1200806 14.7 16.25 0 
BD1200807 5.8 0 12 
BD1200808 14.6 9.75 20.5 
BD1200809 16.1 11.75 18.25 
BD1200810 16.7 16.75 0 
BD1200811 10.5 0 18.25 
BD1200812 15.4 9.5 0 
BD1200813 14.3 0 24.25 
BD1200814 15.45 11.25 0 
BD1200815 5.35 0 7.25 
BD1200816 20 0 17.75 
BD1200817 13.25 0 17 
BD1200818 13.95 15.5 0 
BD1200819 18.05 9.25 13.75 
BD1200820 6.2 0 2.75 
BD1200821 9.4 9.25 15.75 
BD1200822 14.65 0 21.75 
BD1200823 7.6 15 0 
BD1200824 12 10.25 19.75 
BD1200825 23.1 0 18.5 
BD1200826 11.55 0 12.75 
BD1200827 14.7 0 17.25 
BD1200828 17.9 19 0 
BD1200829 13.35 0 15.75 
BD1200830 15.3 13.25 0 
BD1200831 19.45 20.25 0 
BD1200832 15.55 8.25 0 
BD1200833 15.45 0 17.75 
BD1200834 18.65 0 18.75 
BD1200835 16.3 13.75 16.25 
BD1200836 11.85 0 17.5 
BD1200837 13.9 10 19.75 
BD1200838 15.15 19.5 0 
BD1200839 16.1 16.25 17.75 
BD1200840 14.2 0 18 
BD1200841 14.8 0 15.5 
BD1200843 12.2 6.75 18 
BD1200844 18 12 0 
BD1200845 17.7 19 0 
BD1200846 18.55 0 18.25 
